"Variable","Method","Horizon","IRF","Lower","Upper"
"Core CPI","Lag-Augmented LP (Smoothed)",37,0.523876916615413,0.0859130059367854,0.961840827294042
"Core CPI","Lag-Augmented LP (Smoothed)",38,0.535168216896282,0.0905164735683692,0.979819960224195
"Unemployment Rate","Lag-Augmented LP (Smoothed)",0,-0.000181040637323546,-0.0185404980326059,0.0181784167579588
"Unemployment Rate","Lag-Augmented LP (Smoothed)",1,0.0139244581962067,-0.0222212404784232,0.0500701568708366
"Unemployment Rate","Lag-Augmented LP (Smoothed)",2,0.0360398421524006,-0.0176432110307946,0.0897228953355959
"Unemployment Rate","Lag-Augmented LP (Smoothed)",3,0.0459780246058852,-0.0188582629830841,0.110814312194854
"Unemployment Rate","Lag-Augmented LP (Smoothed)",4,0.0472648758246571,-0.030074333726778,0.124604085376092
"Unemployment Rate","Lag-Augmented LP (Smoothed)",5,0.0474566532036268,-0.042604906680201,0.137518213087455
"Unemployment Rate","Lag-Augmented LP (Smoothed)",6,0.0578941607671472,-0.0421222534508795,0.157910574985174
"Unemployment Rate","Lag-Augmented LP (Smoothed)",7,0.0598571964336944,-0.0489963338087527,0.168710726676141
"Unemployment Rate","Lag-Augmented LP (Smoothed)",8,0.0487319894175862,-0.0686821038559087,0.166146082691081
"Unemployment Rate","Lag-Augmented LP (Smoothed)",9,0.0304121635873787,-0.0944132651542496,0.155237592329007
"Unemployment Rate","Lag-Augmented LP (Smoothed)",10,0.0232368605421845,-0.10784262701646,0.154316348100829
"Unemployment Rate","Lag-Augmented LP (Smoothed)",11,0.0253481300464486,-0.112071603267203,0.162767863360101
"Unemployment Rate","Lag-Augmented LP (Smoothed)",12,0.0379388507658829,-0.105413614634668,0.181291316166434
"Unemployment Rate","Lag-Augmented LP (Smoothed)",13,0.0200682879583354,-0.129048278488174,0.169184854404845
"Unemployment Rate","Lag-Augmented LP (Smoothed)",14,0.00920015369846932,-0.142138077696498,0.160538385093437
"Unemployment Rate","Lag-Augmented LP (Smoothed)",15,-0.0161600256781165,-0.167731312208424,0.135411260852191
"Unemployment Rate","Lag-Augmented LP (Smoothed)",16,-0.0284747626696235,-0.179675266752352,0.122725741413105
